id,lon,lat,region,country,tce.10.20,tce.10.25,tce.20.25,tce.30.25,tce.10.30,tce.10.mean,tce.20.mean,tce.30.mean,cloud,albedo,lai,lai2,gdp,prec,solar,vpd,ws,mswx_prec,mswx_solar,mswx_vpd,mswx_ws,trend_lai,sd
16,174.858597880115,-36.9154965385942,AN,New Zealand,0.199683145153632,0.281081679949712,0.134454376415433,0.0873493258052608,0.362480214745793,0.106819566068794,0.0513101980967123,0.0334144984702084,0.57169672175,0.120884414067631,0.8816119225,0.8424632065,0.356,742.50249475,126.7766471,0.35471483425,1.58703398825,859.350852272727,172.666318893433,0.369217706700209,3.60206838418739,0.002142142,15.56390373
76,-92.4789532839753,44.0026304047628,NA,United States,0.163726309779031,0.191626006873905,0.0915504888766625,0.0594121625427409,0.219525703968778,0.140334361772078,0.0666870327518592,0.0431351149559275,0.50908309375,0.147600895064791,1.04816789025,1.012881178,0.268,659.02450045,197.33440755,0.60000459575,1.080486324,626.983289930556,191.524550349624,0.552495056233101,4.03176673694893,0.014512323,20.10432113
119,-93.249033350886,44.944293484173,NA,United States,0.21939151313646,0.265584497773752,0.124553476140756,0.0799785735306972,0.311777482411043,0.18414452540203,0.0860653002916996,0.0551201316693526,0.50657291375,0.131230561775984,1.184281032,1.12079216625,0.347,674.6185085,192.72455315,0.66401852925,0.810735948,619.578368790352,188.581762517713,0.605125574422227,3.54566605944972,0.008353049,22.87822391
194,-94.1851234989002,45.5558709510788,NA,United States,0.227420805615038,0.27415030281006,0.129170817275384,0.0831801622219738,0.320879800005083,0.182876941801369,0.0860732388086794,0.0553500179533833,0.4985697145,0.138038119439157,1.032947966875,1.01416660525,0.19375,647.104265425,193.2656461,0.59882381875,0.75248581325,597.049085365854,187.931076347537,0.555915758396938,3.9416267296163,0.011904595,8.250373566
291,-96.8608004581119,46.8544325782751,NA,United States,0.162285336741266,0.195343865312009,0.0931156177413407,0.0603690494817415,0.228402393882752,0.126669038822676,0.0601714826010856,0.0389328909426862,0.4957755715,0.152711516172961,0.75429485225,0.7338707365,0.237,602.5870485,191.45570125,0.6009166815,0.6705466065,505.101461038961,186.61869462744,0.558179642430025,3.80690518060288,0.008973465,2.521540325
293,-91.2225703784178,43.8420084503964,NA,United States,0.16969029407586,0.200417335412737,0.0951771763135276,0.0615911405889884,0.231144376749614,0.146990222862968,0.0696355874434928,0.0450028754210271,0.5177704715,0.136425195642125,0.98633780825,0.89296866025,0.15375,685.817910275,195.646812375,0.6178230165,0.82803106475,633.158100328947,190.176620282625,0.576833329332395,3.54642712520926,0.012814784,17.31198539
404,-5.03254143044333,7.69730309702279,AF,Ivory Coast,0.0936198811096852,0.101824982511766,0.0495284442520793,0.0324914945684687,0.110030083913847,0.103415189457874,0.0503198149575404,0.033017557784686,0.6503100365,0.158267764049831,0.7287676465,0.728162039,0.15,974.7126158,191.79295455,0.769167635,1.289386609,774.873769685039,193.953094242126,0.701130000721044,2.4230437992126,0.011514681,19.91836972
536,-89.6295877252652,20.9755621578966,CAM,Mexico,0.042280805764397,0.0607460809416419,0.029876517739655,0.0197335552030262,0.0792113561188867,0.0666990790667818,0.0327482890409496,0.0216073784158527,0.57060381125,0.174474961920019,0.64930499075,0.6961795125,0.3455,605.050638175,223.64328,0.9787849665,1.61958105475,708.75390625,225.029933205966,0.827424300942872,2.58158464952447,0.013037007,2.953494958
575,-93.097577750396,16.7500350092507,CAM,Mexico,0.178669838456459,0.22758114449847,0.10845166064194,0.0702999472280805,0.27649245054048,0.195091428387045,0.0927383910859082,0.0600276111347893,0.676414018,0.161510423059249,0.753016828833333,0.745642739666667,0.1077,1577.69667033333,204.740763533333,0.503082122333333,0.8800181,1227.00459770115,226.666386992356,0.604803939421159,2.53762371019385,-0.006462391,66.16983578
609,-96.1481223690829,19.1648325505124,CAM,Mexico,0.0154347709785626,0.107794966910395,0.0522844408352383,0.0342447280067212,0.200155162842228,0.123183624479992,0.0596382927388058,0.0390192543547824,0.654328200666667,0.141719232613035,0.540498766,0.692296952666667,0.167833333333333,1149.517607,178.072889433333,0.753662018,1.105028471,1330.73529411765,225.821078431373,0.76326226578025,2.89905024509804,-0.001890825,8.260107145
648,-97.4774049303215,25.850592096421,NA,United States,0.0911887918409731,0.123138875787457,0.0599286253926229,0.0393256395799577,0.155088959733942,0.128027205650711,0.0623009697808118,0.0408801614929066,0.4080666525,0.165292852572936,0.49740606675,0.460529042,0.3335,609.28029345,227.2992434,0.908935399,3.233739247,690.675980392157,228.690471813726,0.829960508330605,3.56159620098039,0.020470789,2.972407095
